window_size,alphabet_size,f1_val_orig_mean,f1_test_orig_mean,f1_test_orig_std,f1_val_noisy_mean,f1_test_noisy_mean,f1_test_noisy_std,state_count_mean,transition_density_mean
3,3,0.462890625,0.462890625,0.0,0.46183953033268105,0.46183953033268105,5.551115123125783e-17,26.0,0.10059171597633136
3,4,0.42588726513569936,0.4441489361702128,0.0,0.4270833333333333,0.4441489361702128,0.0,54.0,0.046296296296296294
3,5,0.3956043956043956,0.41488051244148805,0.0,0.3956043956043956,0.4133333333333333,5.551115123125783e-17,100.0,0.0237
3,6,0.3648960739030023,0.38016528925619836,0.0,0.3648960739030023,0.3817829457364341,0.0,143.0,0.01506186121570737
4,3,0.4501347708894879,0.44548481065335005,5.551115123125783e-17,0.4516129032258064,0.44548481065335005,5.551115123125783e-17,70.0,0.02836734693877551
4,4,0.4204545454545455,0.43801401157477915,0.0,0.4204545454545455,0.43584451324389406,0.0,138.0,0.013180004200798151
4,5,0.3799392097264438,0.3990645894404005,0.0,0.3761467889908257,0.3990645894404005,0.0,220.0,0.007293388429752067
4,6,0.3222591362126246,0.3382456140350877,0.0,0.31543624161073824,0.341021881344462,0.0,286.0,0.005171402024548878
5,3,0.40441176470588236,0.43157894736842106,0.0,0.40441176470588236,0.4335664335664335,5.551115123125783e-17,140.0,0.01173469387755102
5,4,0.39097744360902253,0.36470588235294116,0.0,0.37209302325581395,0.36470588235294116,0.0,248.0,0.005495577523413111
5,5,0.32217573221757323,0.31932773109243695,0.0,0.325,0.31932773109243695,0.0,314.0,0.003935250922958335
5,6,0.2894736842105263,0.2636363636363636,0.0,0.2894736842105263,0.2702702702702703,0.0,383.0,0.00296545753260299
6,3,0.3282828282828283,0.3415841584158416,0.0,0.3316582914572864,0.3480392156862745,0.0,161.0,0.008101539292465569
6,4,0.24431818181818182,0.26519337016574585,0.0,0.22674418604651164,0.26519337016574585,0.0,271.0,0.004357239144347163
6,5,0.21764705882352944,0.19879518072289157,0.0,0.21764705882352944,0.19879518072289157,0.0,315.0,0.0035474930713025954
6,6,0.14193548387096774,0.18404907975460122,0.0,0.15822784810126583,0.18902439024390244,0.0,351.0,0.0030843905487780133
