window_size,alphabet_size,f1_orig_mean,f1_orig_std,f1_noisy_mean,f1_noisy_std,state_count_mean,transition_density_mean
3,3,0.4711593958468464,0.0,0.471610489570666,0.000695751761448014,23.8,0.09262539238685755
3,4,0.46952888353635663,0.0,0.46980452555799,0.001261749438860053,41.4,0.059114753629728414
3,5,0.48656044789873026,0.0,0.4839948452518545,0.0013747628498247063,66.0,0.03904858365991687
3,6,0.4947435671524115,0.0,0.49613349534622203,0.0011167652628131675,101.4,0.026465184580772915
4,3,0.42905725415456686,0.0,0.4291152011851664,0.0010685459567974268,46.6,0.04047894526747189
4,4,0.45655303788324114,0.0,0.4552175242790432,0.000525429242527441,85.4,0.023503242852411517
4,5,0.47677798638752245,0.0,0.4759189338902442,0.0021698528785899576,146.2,0.014232326472540495
4,6,0.4861752810608192,0.0,0.48747022387097694,0.0019749440149186745,222.4,0.00937227481707826
5,3,0.41290938229807345,0.0,0.4134962299355539,0.0010943880398824855,69.4,0.025987368156401906
5,4,0.4270460292214325,0.0,0.4280444127276982,0.0012678031984942363,150.0,0.011661927252869209
5,5,0.4500538109045273,0.0,0.44983246623876844,0.004725837998936047,261.0,0.00668925978138577
5,6,0.4573528224121587,0.0,0.45799139937415684,0.0035940115821730123,374.6,0.004595344838050947
6,3,0.4473652847389101,0.0,0.44856940222586816,0.002132615259161841,123.0,0.013817036141174181
6,4,0.45199340225892637,0.0,0.453388223317587,0.0023281321943541006,227.8,0.007072639785038479
6,5,0.46779390697584794,0.0,0.4673534997334977,0.0019192678857777744,384.4,0.003965980454114921
6,6,0.46386746731681416,0.0,0.46608245352514555,0.001947451763417483,571.0,0.00261778821892823
