window_size,alphabet_size,f1_mean,f1_std,state_count_mean,transition_density_mean
3,3,0.470871739750368,0.04095791069565671,23.8,0.09262539238685756
3,4,0.46982606343182487,0.029158076745953884,41.4,0.059114753629728414
3,5,0.485906382176098,0.03195876469787805,66.0,0.03904858365991687
3,6,0.49461519563208023,0.03559215323273108,101.4,0.026465184580772915
4,3,0.4289683369665589,0.027755271876580147,46.6,0.04047894526747188
4,4,0.45727307484485546,0.042795264343039964,85.4,0.023503242852411517
4,5,0.47500661912086767,0.03896555109117815,146.2,0.014232326472540496
4,6,0.48535886417610363,0.02646239742551864,222.4,0.00937227481707826
5,3,0.4126816908254679,0.028028869175214195,69.4,0.02598736815640191
5,4,0.43078857871471143,0.027662575534267063,150.0,0.01166192725286921
5,5,0.44858758971422635,0.04997865636598027,261.0,0.0066892597813857715
5,6,0.46114269792977536,0.03154193250461351,374.6,0.0045953448380509476
6,3,0.44802221994931735,0.03299759728758169,123.0,0.013817036141174183
6,4,0.4518551096171498,0.03464358796539595,227.8,0.00707263978503848
6,5,0.46622417508630604,0.052804279354304526,384.4,0.003965980454114921
6,6,0.4623634129732338,0.052739580180350076,571.0,0.00261778821892823
